"ID","A","B","C"
"1057","a1057","b1057","c1057"
"1058","a1058","b1058","c1058"
"1059","a1059","b1059","c1059"
"1060","a1060","b1060","c1060"
"1061","a1061","b1061","c1061"
"1062","a1062","b1062","c1062"
"1063","a1063","b1063","c1063"
"1064","a1064","b1064","c1064"
"1065","a1065","b1065","c1065"
"1066","a1066","b1066","c1066"
"1067","a1067","b1067","c1067"
"1068","a1068","b1068","c1068"
"1069","a1069","b1069","c1069"
"1070","a1070","b1070","c1070"
"1071","a1071","b1071","c1071"
"1072","a1072","b1072","c1072"
"1073","a1073","b1073","c1073"
"1074","a1074","b1074","c1074"
"1075","a1075","b1075","c1075"
"1076","a1076","b1076","c1076"
"1077","a1077","b1077","c1077"
"1078","a1078","b1078","c1078"
"1079","a1079","b1079","c1079"
"1080","a1080","b1080","c1080"
"1081","a1081","b1081","c1081"
"1082","a1082","b1082","c1082"
"1083","a1083","b1083","c1083"
"1084","a1084","b1084","c1084"
"1085","a1085","b1085","c1085"
"1086","a1086","b1086","c1086"
"1087","a1087","b1087","c1087"
"1088","a1088","b1088","c1088"
"1089","a1089","b1089","c1089"
"1090","a1090","b1090","c1090"
"1091","a1091","b1091","c1091"
"1092","a1092","b1092","c1092"
"1093","a1093","b1093","c1093"
"1094","a1094","b1094","c1094"
"1095","a1095","b1095","c1095"
"1096","a1096","b1096","c1096"
"1097","a1097","b1097","c1097"
"1098","a1098","b1098","c1098"
"1099","a1099","b1099","c1099"
"1100","a1100","b1100","c1100"
"1101","a1101","b1101","c1101"
"1102","a1102","b1102","c1102"
"1103","a1103","b1103","c1103"
"1104","a1104","b1104","c1104"
"1105","a1105","b1105","c1105"
"1106","a1106","b1106","c1106"
"1107","a1107","b1107","c1107"
"1108","a1108","b1108","c1108"
"1109","a1109","b1109","c1109"
"1110","a1110","b1110","c1110"
"1111","a1111","b1111","c1111"
"1112","a1112","b1112","c1112"
"1113","a1113","b1113","c1113"
"1114","a1114","b1114","c1114"
"1115","a1115","b1115","c1115"
"1116","a1116","b1116","c1116"
"1117","a1117","b1117","c1117"
"1118","a1118","b1118","c1118"
"1119","a1119","b1119","c1119"
"1120","a1120","b1120","c1120"
"1121","a1121","b1121","c1121"
"1122","a1122","b1122","c1122"
"1123","a1123","b1123","c1123"
"1124","a1124","b1124","c1124"
"1125","a1125","b1125","c1125"
"1126","a1126","b1126","c1126"
"1127","a1127","b1127","c1127"
"1128","a1128","b1128","c1128"
"1129","a1129","b1129","c1129"
"1130","a1130","b1130","c1130"
"1131","a1131","b1131","c1131"
"1132","a1132","b1132","c1132"
"1133","a1133","b1133","c1133"
"1134","a1134","b1134","c1134"
"1135","a1135","b1135","c1135"
"1136","a1136","b1136","c1136"
"1137","a1137","b1137","c1137"
"1138","a1138","b1138","c1138"
"1139","a1139","b1139","c1139"
"1140","a1140","b1140","c1140"
"1141","a1141","b1141","c1141"
"1142","a1142","b1142","c1142"
"1143","a1143","b1143","c1143"
"1144","a1144","b1144","c1144"
"1145","a1145","b1145","c1145"
"1146","a1146","b1146","c1146"
"1147","a1147","b1147","c1147"
"1148","a1148","b1148","c1148"
"1149","a1149","b1149","c1149"
"1150","a1150","b1150","c1150"
"1151","a1151","b1151","c1151"
"1152","a1152","b1152","c1152"
"1153","a1153","b1153","c1153"
"1154","a1154","b1154","c1154"
"1155","a1155","b1155","c1155"
"1156","a1156","b1156","c1156"
"1157","a1157","b1157","c1157"
"1158","a1158","b1158","c1158"
"1159","a1159","b1159","c1159"
"1160","a1160","b1160","c1160"
"1161","a1161","b1161","c1161"
"1162","a1162","b1162","c1162"
"1163","a1163","b1163","c1163"
"1164","a1164","b1164","c1164"
"1165","a1165","b1165","c1165"
"1166","a1166","b1166","c1166"
"1167","a1167","b1167","c1167"
"1168","a1168","b1168","c1168"
"1169","a1169","b1169","c1169"
"1170","a1170","b1170","c1170"
"1171","a1171","b1171","c1171"
"1172","a1172","b1172","c1172"
"1173","a1173","b1173","c1173"
"1174","a1174","b1174","c1174"
"1175","a1175","b1175","c1175"
"1176","a1176","b1176","c1176"
"1177","a1177","b1177","c1177"
"1178","a1178","b1178","c1178"
"1179","a1179","b1179","c1179"
"1180","a1180","b1180","c1180"
"1181","a1181","b1181","c1181"
"1182","a1182","b1182","c1182"
"1183","a1183","b1183","c1183"
"1184","a1184","b1184","c1184"
"1185","a1185","b1185","c1185"
"1186","a1186","b1186","c1186"
"1187","a1187","b1187","c1187"
"1188","a1188","b1188","c1188"
"1189","a1189","b1189","c1189"
"1190","a1190","b1190","c1190"
"1191","a1191","b1191","c1191"
"1192","a1192","b1192","c1192"
"1193","a1193","b1193","c1193"
"1194","a1194","b1194","c1194"
"1195","a1195","b1195","c1195"
"1196","a1196","b1196","c1196"
"1197","a1197","b1197","c1197"
"1198","a1198","b1198","c1198"
"1199","a1199","b1199","c1199"
"1200","a1200","b1200","c1200"
"1201","a1201","b1201","c1201"
"1202","a1202","b1202","c1202"
"1203","a1203","b1203","c1203"
"1204","a1204","b1204","c1204"
"1205","a1205","b1205","c1205"
"1206","a1206","b1206","c1206"
"1207","a1207","b1207","c1207"
"1208","a1208","b1208","c1208"
"1209","a1209","b1209","c1209"
"1210","a1210","b1210","c1210"
"1211","a1211","b1211","c1211"
"1212","a1212","b1212","c1212"
"1213","a1213","b1213","c1213"
"1214","a1214","b1214","c1214"
"1215","a1215","b1215","c1215"
"1216","a1216","b1216","c1216"
"1217","a1217","b1217","c1217"
"1218","a1218","b1218","c1218"
"1219","a1219","b1219","c1219"
"1220","a1220","b1220","c1220"
"1221","a1221","b1221","c1221"
"1222","a1222","b1222","c1222"
"1223","a1223","b1223","c1223"
"1224","a1224","b1224","c1224"
"1225","a1225","b1225","c1225"
"1226","a1226","b1226","c1226"
"1227","a1227","b1227","c1227"
"1228","a1228","b1228","c1228"
"1229","a1229","b1229","c1229"
"1230","a1230","b1230","c1230"
"1231","a1231","b1231","c1231"
"1232","a1232","b1232","c1232"
"1233","a1233","b1233","c1233"
"1234","a1234","b1234","c1234"
"1235","a1235","b1235","c1235"
"1236","a1236","b1236","c1236"
"1237","a1237","b1237","c1237"
"1238","a1238","b1238","c1238"
"1239","a1239","b1239","c1239"
"1240","a1240","b1240","c1240"
"1241","a1241","b1241","c1241"
"1242","a1242","b1242","c1242"
"1243","a1243","b1243","c1243"
"1244","a1244","b1244","c1244"
"1245","a1245","b1245","c1245"
"1246","a1246","b1246","c1246"
"1247","a1247","b1247","c1247"
"1248","a1248","b1248","c1248"
"1249","a1249","b1249","c1249"
"1250","a1250","b1250","c1250"
"1251","a1251","b1251","c1251"
"1252","a1252","b1252","c1252"
"1253","a1253","b1253","c1253"
"1254","a1254","b1254","c1254"
"1255","a1255","b1255","c1255"
"1256","a1256","b1256","c1256"
"1257","a1257","b1257","c1257"
"1258","a1258","b1258","c1258"
"1259","a1259","b1259","c1259"
"1260","a1260","b1260","c1260"
"1261","a1261","b1261","c1261"
"1262","a1262","b1262","c1262"
"1263","a1263","b1263","c1263"
"1264","a1264","b1264","c1264"
"1265","a1265","b1265","c1265"
"1266","a1266","b1266","c1266"
"1267","a1267","b1267","c1267"
"1268","a1268","b1268","c1268"
"1269","a1269","b1269","c1269"
"1270","a1270","b1270","c1270"
"1271","a1271","b1271","c1271"
"1272","a1272","b1272","c1272"
"1273","a1273","b1273","c1273"
"1274","a1274","b1274","c1274"
"1275","a1275","b1275","c1275"
"1276","a1276","b1276","c1276"
"1277","a1277","b1277","c1277"
"1278","a1278","b1278","c1278"
"1279","a1279","b1279","c1279"
"1280","a1280","b1280","c1280"
"1281","a1281","b1281","c1281"
"1282","a1282","b1282","c1282"
"1283","a1283","b1283","c1283"
"1284","a1284","b1284","c1284"
"1285","a1285","b1285","c1285"
"1286","a1286","b1286","c1286"
"1287","a1287","b1287","c1287"
"1288","a1288","b1288","c1288"
"1289","a1289","b1289","c1289"
"1290","a1290","b1290","c1290"
"1291","a1291","b1291","c1291"
"1292","a1292","b1292","c1292"
"1293","a1293","b1293","c1293"
"1294","a1294","b1294","c1294"
"1295","a1295","b1295","c1295"
"1296","a1296","b1296","c1296"
"1297","a1297","b1297","c1297"
"1298","a1298","b1298","c1298"
"1299","a1299","b1299","c1299"
"1300","a1300","b1300","c1300"
"1301","a1301","b1301","c1301"
"1302","a1302","b1302","c1302"
"1303","a1303","b1303","c1303"
"1304","a1304","b1304","c1304"
"1305","a1305","b1305","c1305"
"1306","a1306","b1306","c1306"
"1307","a1307","b1307","c1307"
"1308","a1308","b1308","c1308"
"1309","a1309","b1309","c1309"
"1310","a1310","b1310","c1310"
"1311","a1311","b1311","c1311"
"1312","a1312","b1312","c1312"
"1313","a1313","b1313","c1313"
"1314","a1314","b1314","c1314"
"1315","a1315","b1315","c1315"
"1316","a1316","b1316","c1316"
"1317","a1317","b1317","c1317"
"1318","a1318","b1318","c1318"
"1319","a1319","b1319","c1319"
"1320","a1320","b1320","c1320"
"1321","a1321","b1321","c1321"
"1322","a1322","b1322","c1322"
"1323","a1323","b1323","c1323"
"1324","a1324","b1324","c1324"
"1325","a1325","b1325","c1325"
"1326","a1326","b1326","c1326"
"1327","a1327","b1327","c1327"
"1328","a1328","b1328","c1328"
"1329","a1329","b1329","c1329"
"1330","a1330","b1330","c1330"
"1331","a1331","b1331","c1331"
"1332","a1332","b1332","c1332"
"1333","a1333","b1333","c1333"
"1334","a1334","b1334","c1334"
"1335","a1335","b1335","c1335"
"1336","a1336","b1336","c1336"
"1337","a1337","b1337","c1337"
"1338","a1338","b1338","c1338"
"1339","a1339","b1339","c1339"
"1340","a1340","b1340","c1340"
"1341","a1341","b1341","c1341"
"1342","a1342","b1342","c1342"
"1343","a1343","b1343","c1343"
"1344","a1344","b1344","c1344"
"1345","a1345","b1345","c1345"
"1346","a1346","b1346","c1346"
"1347","a1347","b1347","c1347"
"1348","a1348","b1348","c1348"
"1349","a1349","b1349","c1349"
"1350","a1350","b1350","c1350"
"1351","a1351","b1351","c1351"
"1352","a1352","b1352","c1352"
"1353","a1353","b1353","c1353"
"1354","a1354","b1354","c1354"
"1355","a1355","b1355","c1355"
"1356","a1356","b1356","c1356"
"1357","a1357","b1357","c1357"
"1358","a1358","b1358","c1358"
"1359","a1359","b1359","c1359"
"1360","a1360","b1360","c1360"
"1361","a1361","b1361","c1361"
"1362","a1362","b1362","c1362"
"1363","a1363","b1363","c1363"
"1364","a1364","b1364","c1364"
"1365","a1365","b1365","c1365"
"1366","a1366","b1366","c1366"
"1367","a1367","b1367","c1367"
"1368","a1368","b1368","c1368"
"1369","a1369","b1369","c1369"
"1370","a1370","b1370","c1370"
"1371","a1371","b1371","c1371"
"1372","a1372","b1372","c1372"
"1373","a1373","b1373","c1373"
"1374","a1374","b1374","c1374"
"1375","a1375","b1375","c1375"
"1376","a1376","b1376","c1376"
"1377","a1377","b1377","c1377"
"1378","a1378","b1378","c1378"
"1379","a1379","b1379","c1379"
"1380","a1380","b1380","c1380"
"1381","a1381","b1381","c1381"
"1382","a1382","b1382","c1382"
"1383","a1383","b1383","c1383"
"1384","a1384","b1384","c1384"
"1385","a1385","b1385","c1385"
"1386","a1386","b1386","c1386"
"1387","a1387","b1387","c1387"
"1388","a1388","b1388","c1388"
"1389","a1389","b1389","c1389"
"1390","a1390","b1390","c1390"
"1391","a1391","b1391","c1391"
"1392","a1392","b1392","c1392"
"1393","a1393","b1393","c1393"
"1394","a1394","b1394","c1394"
"1395","a1395","b1395","c1395"
"1396","a1396","b1396","c1396"
"1397","a1397","b1397","c1397"
"1398","a1398","b1398","c1398"
"1399","a1399","b1399","c1399"
"1400","a1400","b1400","c1400"
"1401","a1401","b1401","c1401"
"1402","a1402","b1402","c1402"
"1403","a1403","b1403","c1403"
"1404","a1404","b1404","c1404"
"1405","a1405","b1405","c1405"
"1406","a1406","b1406","c1406"
"1407","a1407","b1407","c1407"
"1408","a1408","b1408","c1408"
"1409","a1409","b1409","c1409"
"1410","a1410","b1410","c1410"
"1411","a1411","b1411","c1411"
"1412","a1412","b1412","c1412"
"1413","a1413","b1413","c1413"
"1414","a1414","b1414","c1414"
"1415","a1415","b1415","c1415"
"1416","a1416","b1416","c1416"
"1417","a1417","b1417","c1417"
"1418","a1418","b1418","c1418"
"1419","a1419","b1419","c1419"
"1420","a1420","b1420","c1420"
"1421","a1421","b1421","c1421"
"1422","a1422","b1422","c1422"
"1423","a1423","b1423","c1423"
"1424","a1424","b1424","c1424"
"1425","a1425","b1425","c1425"
"1426","a1426","b1426","c1426"
"1427","a1427","b1427","c1427"
"1428","a1428","b1428","c1428"
"1429","a1429","b1429","c1429"
"1430","a1430","b1430","c1430"
"1431","a1431","b1431","c1431"
"1432","a1432","b1432","c1432"
"1433","a1433","b1433","c1433"
"1434","a1434","b1434","c1434"
"1435","a1435","b1435","c1435"
"1436","a1436","b1436","c1436"
"1437","a1437","b1437","c1437"
"1438","a1438","b1438","c1438"
"1439","a1439","b1439","c1439"
"1440","a1440","b1440","c1440"
"1441","a1441","b1441","c1441"
"1442","a1442","b1442","c1442"
"1443","a1443","b1443","c1443"
"1444","a1444","b1444","c1444"
"1445","a1445","b1445","c1445"
"1446","a1446","b1446","c1446"
"1447","a1447","b1447","c1447"
"1448","a1448","b1448","c1448"
"1449","a1449","b1449","c1449"
"1450","a1450","b1450","c1450"
"1451","a1451","b1451","c1451"
"1452","a1452","b1452","c1452"
"1453","a1453","b1453","c1453"
"1454","a1454","b1454","c1454"
"1455","a1455","b1455","c1455"
"1456","a1456","b1456","c1456"
"1457","a1457","b1457","c1457"
"1458","a1458","b1458","c1458"
"1459","a1459","b1459","c1459"
"1460","a1460","b1460","c1460"
"1461","a1461","b1461","c1461"
"1462","a1462","b1462","c1462"
"1463","a1463","b1463","c1463"
"1464","a1464","b1464","c1464"
"1465","a1465","b1465","c1465"
"1466","a1466","b1466","c1466"
"1467","a1467","b1467","c1467"
"1468","a1468","b1468","c1468"
"1469","a1469","b1469","c1469"
"1470","a1470","b1470","c1470"
"1471","a1471","b1471","c1471"
"1472","a1472","b1472","c1472"
"1473","a1473","b1473","c1473"
"1474","a1474","b1474","c1474"
"1475","a1475","b1475","c1475"
"1476","a1476","b1476","c1476"
"1477","a1477","b1477","c1477"
"1478","a1478","b1478","c1478"
"1479","a1479","b1479","c1479"
"1480","a1480","b1480","c1480"
"1481","a1481","b1481","c1481"
"1482","a1482","b1482","c1482"
"1483","a1483","b1483","c1483"
"1484","a1484","b1484","c1484"
"1485","a1485","b1485","c1485"
"1486","a1486","b1486","c1486"
"1487","a1487","b1487","c1487"
"1488","a1488","b1488","c1488"
"1489","a1489","b1489","c1489"
"1490","a1490","b1490","c1490"
"1491","a1491","b1491","c1491"
"1492","a1492","b1492","c1492"
"1493","a1493","b1493","c1493"
"1494","a1494","b1494","c1494"
"1495","a1495","b1495","c1495"
"1496","a1496","b1496","c1496"
"1497","a1497","b1497","c1497"
"1498","a1498","b1498","c1498"
"1499","a1499","b1499","c1499"
"1500","a1500","b1500","c1500"
"1501","a1501","b1501","c1501"
"1502","a1502","b1502","c1502"
"1503","a1503","b1503","c1503"
"1504","a1504","b1504","c1504"
"1505","a1505","b1505","c1505"
"1506","a1506","b1506","c1506"
"1507","a1507","b1507","c1507"
"1508","a1508","b1508","c1508"
"1509","a1509","b1509","c1509"
"1510","a1510","b1510","c1510"
"1511","a1511","b1511","c1511"
"1512","a1512","b1512","c1512"
"1513","a1513","b1513","c1513"
"1514","a1514","b1514","c1514"
"1515","a1515","b1515","c1515"
"1516","a1516","b1516","c1516"
"1517","a1517","b1517","c1517"
"1518","a1518","b1518","c1518"
"1519","a1519","b1519","c1519"
"1520","a1520","b1520","c1520"
"1521","a1521","b1521","c1521"
"1522","a1522","b1522","c1522"
"1523","a1523","b1523","c1523"
"1524","a1524","b1524","c1524"
"1525","a1525","b1525","c1525"
"1526","a1526","b1526","c1526"
"1527","a1527","b1527","c1527"
"1528","a1528","b1528","c1528"
"1529","a1529","b1529","c1529"
"1530","a1530","b1530","c1530"
"1531","a1531","b1531","c1531"
"1532","a1532","b1532","c1532"
"1533","a1533","b1533","c1533"
"1534","a1534","b1534","c1534"
"1535","a1535","b1535","c1535"
"1536","a1536","b1536","c1536"
"1537","a1537","b1537","c1537"
"1538","a1538","b1538","c1538"
"1539","a1539","b1539","c1539"
"1540","a1540","b1540","c1540"
"1541","a1541","b1541","c1541"
"1542","a1542","b1542","c1542"
"1543","a1543","b1543","c1543"
"1544","a1544","b1544","c1544"
"1545","a1545","b1545","c1545"
"1546","a1546","b1546","c1546"
"1547","a1547","b1547","c1547"
"1548","a1548","b1548","c1548"
"1549","a1549","b1549","c1549"
"1550","a1550","b1550","c1550"
"1551","a1551","b1551","c1551"
"1552","a1552","b1552","c1552"
"1553","a1553","b1553","c1553"
"1554","a1554","b1554","c1554"
"1555","a1555","b1555","c1555"
"1556","a1556","b1556","c1556"
"1557","a1557","b1557","c1557"
"1558","a1558","b1558","c1558"
"1559","a1559","b1559","c1559"
"1560","a1560","b1560","c1560"
"1561","a1561","b1561","c1561"
"1562","a1562","b1562","c1562"
"1563","a1563","b1563","c1563"
"1564","a1564","b1564","c1564"
"1565","a1565","b1565","c1565"
"1566","a1566","b1566","c1566"
"1567","a1567","b1567","c1567"
"1568","a1568","b1568","c1568"
"1569","a1569","b1569","c1569"
"1570","a1570","b1570","c1570"
"1571","a1571","b1571","c1571"
"1572","a1572","b1572","c1572"
"1573","a1573","b1573","c1573"
"1574","a1574","b1574","c1574"
"1575","a1575","b1575","c1575"
"1576","a1576","b1576","c1576"
"1577","a1577","b1577","c1577"
"1578","a1578","b1578","c1578"
"1579","a1579","b1579","c1579"
"1580","a1580","b1580","c1580"
"1581","a1581","b1581","c1581"
"1582","a1582","b1582","c1582"
"1583","a1583","b1583","c1583"
"1584","a1584","b1584","c1584"
"1585","a1585","b1585","c1585"
"1586","a1586","b1586","c1586"
"1587","a1587","b1587","c1587"
"1588","a1588","b1588","c1588"
"1589","a1589","b1589","c1589"
"1590","a1590","b1590","c1590"
"1591","a1591","b1591","c1591"
"1592","a1592","b1592","c1592"
"1593","a1593","b1593","c1593"
"1594","a1594","b1594","c1594"
